"id", "catalog_number", "description"
"803451","UC212C4HR5FB","AMI UC212C4HR5FB 60MM NML HIGH TEMP (400 DEG) SET SC BRG SINGLE ROW BALL BEARING"
"803422","UC210-32MZ20RF","AMI UC210-32MZ20RF 2 KANIGEN NORMAL WIDE SET SCREW RF INSERT SINGLE ROW BALL BEARING"
"803421","UC210-31MZ20RF","AMI UC210-31MZ20RF 1-15/16 KANIGEN NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"803241","MUC208RF","AMI MUC208RF 40MM STAINLESS NORMAL WIDE SET SCRE SINGLE ROW BALL BEARING"
"803079","UK313+HA2313","AMI UK313+HA2313 2-3/16 HEAVY DUTY WIDE ADAPTER SLEE SINGLE ROW BALL BEARING"
"803069","MUC207-21RF","AMI MUC207-21RF 1-5/16 STAINLESS NORMAL WIDE SET SC INSERT SINGLE ROW BALL BEARING"
"802927","UE206-20MZ20RF","AMI UE206-20MZ20RF 1-1/4 KANIGEN NORMAL WIDE ACCU-LOC INSERT SINGLE ROW BALL BEARING"
"802926","UE206-19MZ20RF","AMI UE206-19MZ20RF 1-3/16 KANIGEN NORMAL WIDE ACCU-LOC INSERT SINGLE ROW BALL BEARING"
"802843","MUC207RF","AMI MUC207RF 35MM STAINLESS NORMAL WIDE SET SCRE SINGLE ROW BALL BEARING"
"802842","MUC207-22RF","AMI MUC207-22RF 1-3/8 STAINLESS NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"802680","UE207-23MZ20","AMI UE207-23MZ20 1-7/16 KANIGEN NORMAL WIDE ACCU-LOC SINGLE ROW BALL BEARING"
"802679","UE207-20MZ20","AMI UE207-20MZ20 1-1/4 KANIGEN NORMAL WIDE ACCU-LOC SINGLE ROW BALL BEARING"
"802514","UK216","AMI UK216 NORMAL DUTY ADAPTER BEARING"
"802430","MB8","AMI MB8 40MM STAINLESS NORMAL NARROW SET SC SINGLE ROW BALL BEARING"
"802429","UKX16","AMI UKX16 MEDIUM DUTY ADAPTER BEARING"
"802348","UC210-32MZ20","AMI UC210-32MZ20 2 KANIGEN NORMAL WIDE SET SCREW BEA SINGLE ROW BALL BEARING"
"802347","UC210-31MZ20","AMI UC210-31MZ20 1-15/16 KANIGEN NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"802021","UE205-16MZ20RF","AMI UE205-16MZ20RF 1 KANIGEN NORMAL WIDE ACCU-LOC RF S INSERT SINGLE ROW BALL BEARING"
"801980","MSER206-19RF","AMI MSER206-19RF 1-3/16 STAINLESS NML CYL O.D. SET S INSERT SINGLE ROW BALL BEARING"
"801955","UE206-19MZ20","AMI UE206-19MZ20 1-3/16 KANIGEN NORMAL WIDE ACCU-LOC SINGLE ROW BALL BEARING"
"801702","UK313","AMI UK313 HEAVY DUTY ADAPTER BEARING"
"801672","UK312+HA2312","AMI UK312+HA2312 2-1/16 HEAVY DUTY WIDE ADAPTER SLEE SINGLE ROW BALL BEARING"
"801150","UK215","AMI UK215 NORMAL DUTY ADAPTER BEARING"
"801138","UC208-24MZ20RF","AMI UC208-24MZ20RF 1-1/2 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"800841","UC209-28MZ20","AMI UC209-28MZ20 1-3/4 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"800840","UC209-27MZ20","AMI UC209-27MZ20 1-11/16 KANIGEN NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"800667","UKX15","AMI UKX15 MEDIUM DUTY ADAPTER BEARING"
"800239","UE204-12MZ20RF","AMI UE204-12MZ20RF 3/4 KANIGEN NORMAL WIDE ACCU-LOC RF INSERT SINGLE ROW BALL BEARING"
"800232","MSER205-16RF","AMI MSER205-16RF 1 STAINLESS NML CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"800231","MSER204-12RF","AMI MSER204-12RF 3/4 STAINLESS NML CYL O.D. SET SCRE INSERT SINGLE ROW BALL BEARING"
"800230","MSER202-10RF","AMI MSER202-10RF 5/8 STAINLESS NML CYL O.D. SET SCRE INSERT SINGLE ROW BALL BEARING"
"800209","UC209-C4HR5FB","AMI UC209-C4HR5FB 45MM NML HIGH TEMP (400 DEG) SET SC LUBE BRG SINGLE ROW BALL BEARING"
"800078","MUC206RF","AMI MUC206RF 30MM STAINLESS NORMAL WIDE SET SCRE SINGLE ROW BALL BEARING"
"800077","MUC206-19RF","AMI MUC206-19RF 1-3/16 STAINLESS NORMAL WIDE SET SC INSERT SINGLE ROW BALL BEARING"
"800076","MUC206-18RF","AMI MUC206-18RF 1-1/8 STAINLESS NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"800053","MSER205-16FS","AMI MSER205-16FS 1 STAINLESS NML CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"799882","UK311+HA2311","AMI UK311+HA2311 1-15/16 HEAVY DUTY WIDE ADAPTER SLE INSERT SINGLE ROW BALL BEARING"
"799835","UC208-24MZ20","AMI UC208-24MZ20 1-1/2 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"799712","UC207-23MZ20RF","AMI UC207-23MZ20RF 1-7/16 KANIGEN NORMAL WIDE SET SCRE INSERT SINGLE ROW BALL BEARING"
"799711","UC207-22MZ20RF","AMI UC207-22MZ20RF 1-3/8 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"799710","UC207-20MZ20RF","AMI UC207-20MZ20RF 1-1/4 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"799570","MSER204-12FS","AMI MSER204-12FS 3/4 STAINLESS NML CYL O.D. SET SCRE INSERT SINGLE ROW BALL BEARING"
"799555","UK312","AMI UK312 HEAVY DUTY ADAPTER BEARING"
"799103","MUC205-15RF","AMI MUC205-15RF 15/16 STAINLESS NORMAL WIDE SET SCR INSERT SINGLE ROW BALL BEARING"
"798925","UE204-12MZ20","AMI UE204-12MZ20 3/4 KANIGEN NORMAL WIDE ACCU-LOC BE SINGLE ROW BALL BEARING"
"798708","SUE211-35FSAM1","AMI SUE211-35FSAM1 2-3/16 NORMAL WIDE CYL O.D. ACCU-LO INSERT SINGLE ROW BALL BEARING"
"798707","SUE211-32FSAM1","AMI SUE211-32FSAM1 2 NORMAL WIDE CYL O.D. ACCU-LOC FRE INSERT SINGLE ROW BALL BEARING"
"798593","SUE210FSAM1","AMI SUE210FSAM1 50MM NORMAL WIDE CYL O.D. ACCU-LOC INSERT SINGLE ROW BALL BEARING"
"798396","UC207-23MZ20","AMI UC207-23MZ20 1-7/16 KANIGEN NORMAL WIDE SET SCRE INSERT SINGLE ROW BALL BEARING"
"798395","UC207-22MZ20","AMI UC207-22MZ20 1-3/8 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"798394","UC207-20MZ20","AMI UC207-20MZ20 1-1/4 KANIGEN NORMAL WIDE SET SCREW INSERT SINGLE ROW BALL BEARING"
"798326","UKX13","AMI UKX13 MEDIUM DUTY ADAPTER BEARING"
"798256","SER212-39FSX","AMI SER212-39FSX 2-7/16 NML WIDE CYL O.D. SET SCREW INSERT SINGLE ROW BALL BEARING"
"798255","SER212-38FSX","AMI SER212-38FSX 2-3/8 NML WIDE CYL O.D. SET SCREW F INSERT SINGLE ROW BALL BEARING"
"798254","SER212-36FSX","AMI SER212-36FSX 2-1/4 NML WIDE CYL O.D. SET SCREW F INSERT SINGLE ROW BALL BEARING"
