id,catalog_number,description
2501684,UKT209E,FYH UKT209E ND TB TAKE-UP ADPTR 1(7/161/25/8) 40MM
2501683,UKT208J,FYH UKT208J ND TB TAKE-UP (ADPTOR) 1(1/43/8) 35MM
2501682,UKT208E1,FYH UKT208E1 UKT 208 MACHINESD FOR COVERS
2501681,UKT208E,FYH UKT208E ND TB TAKE-UP (ADPTOR) 1(1/43/8) 35MM
2501680,UKT207EN2,FYH UKT207EN2 UK UNIT WITH 90 DEG. GREASE FIT
2501679,UKT207EH307S,FYH UKT207EH307S ND TB TAKE-UP W/ 1 1/8in ADAPTOR
2501678,UKT207EH307A,FYH UKT207EH307A 1 3/16 ND TB TAKE-UP WITH H307A
2501677,UKT207EDN2,FYH UKT207EDN2 UK UNIT w CLOSED COVER + 90 DEG. ZERK
2501676,UKT207E3,FYH UKT207E3 UKT 207 GROOVED/TAP FOR COVER
2501675,UKT207E1,FYH UKT207E1 ND TAKE UP GROOVED FOR COVER
2501674,UKT207E,FYH UKT207E ND TB TAKE-UP (ADPTOR) 1(1/83/16) 30MM
2501673,UKT206JE3,FYH UKT206JE3 ND TB TAKE-UP (ADPTR) 7/815/161 25MM
2501672,UKT206EN2,FYH UKT206EN2 ND TB TAKE UP (ADAPTOR)WITH 90 DEG. ZERK
2501671,UKT206E1,FYH UKT206E1 ND TB TAKE-UP GROOVE FOR COVERS
2501670,UKT206E,FYH UKT206E ND TB TAKE-UP (ADPTR) 7/815/161 25MM
2501669,UKT205E,FYH UKT205E ND TB TAKE-UP (ADAPTOR) 3/4 20MM BORE
2501668,UKSL209,FYH UKSL209 HD TB PB LOW CENTER UNIT
2501667,UKSL206E1,FYH UKSL206E1 TAPERED-BORE LOW BASE PB UNIT * MACHINED FOR COVERS*
2501666,UKPX206,FYH UKPX206 ND TB PB (7/8 15/16 1 25MM) W/ PX05
2501665,UKPX17E3E3,FYH UKPX17E3E3 UKPX17 MACHINED FOR CAST COVERS
2501664,UKPX11E1,FYH UKPX11E1 MD PB MACHINED FOR COVER
2501663,UKPX09E1,FYH UKPX09E1 MD PB MACHINED FOR COVER
2501662,UKPS06L3,FYH UKPS06L3 UK 206-L3 + PX 05 +H 306-E
2501661,UKPK211,FYH UKPK211
2501660,UKPK207,FYH UKPK207 35MM LOW BASE PB
2501659,UKPH210,FYH UKPH210
2501658,UKPH209,FYH UKPH209 ND TB TAPPED BORE INSERT PEDESTAL PB
2501657,UKPH208,FYH UKPH208 ND TB TAPPED BORE INSERT PEDESTAL PB
2501656,UKPH207,FYH UKPH207 ND TB TAPPED BORE INSERT PEDESTAL PB
2501655,UKPH206,FYH UKPH206 ND TB TAPPED BORE INSERT PEDESTAL PB
2501654,UKPFL206,FYH UKPFL206 30MM ND TB 2 BLT STAMPED FLANGE(ADAPTOR)
2501653,UKPA210L3H2310,FYH UKPA210L3H2310 TAPPED-BASE PB UNIT
2501652,UKPA210L3E1E1,FYH UKPA210L3E1E1 TAPPED-BASE PB MACHINED BOTH SIDES FOR STAMPED STEEL COVERS
2501651,UKPA210L3CC,FYH UKPA210L3CC TAPPED-BASE PB UNIT
2501650,UKPA210L3,FYH UKPA210L3 TAPPED-BASE PB UNIT
2501649,UKPA210H310,FYH UKPA210H310 45MM TAPPED BASE + H 310 ADAPTER
2501648,UKPA210E1E1,FYH UKPA210E1E1 TAPPED-BASE PB MACHINED BOTH SIDES FOR STAMPED STEEL COVERS
2501647,UKPA210,FYH UKPA210 TAPPED-BASE PB
2501646,UKPA209,FYH UKPA209
2501645,UKPA208,FYH UKPA208
2501644,UKPA207N2,FYH UKPA207N2
2501643,UKPA207B01,FYH UKPA207B01
2501642,UKPA207,FYH UKPA207
2501641,UKPA206,FYH UKPA206
2501640,UKPA205,FYH UKPA205
2501639,UKP328H2328A,FYH UKP328H2328A HD TB PB W/ 4 15/16in ADAPTER
2501638,UKP328H2328,FYH UKP328H2328 HD TB PB W/ 125MM ADAPTER
2501637,UKP320E3,FYH UKP320E3 HD TB PB GROOVED AND TAPPED FOR COVERS
2501636,UKP317E3E3,FYH UKP317E3E3 HD TB PB MACHINED FOR COVERS
2501635,UKP317E3,FYH UKP317E3 HD TB PB MACHINED FOR COVER
2501634,UKP316FCFD,FYH UKP316FCFD UKP 316 WITH 2 IRON COVERS
2501633,UKP316E3,FYH UKP316E3 UKP 316 DRILLED FOR COVERS
2501632,UKP315H2315A,FYH UKP315H2315A 2 7/16 UKP3 UNIT
2501631,UKP313H2313A,FYH UKP313H2313A 2 3/16 UKP UNIT
2501630,UKP311H2311A,FYH UKP311H2311A 1 15/16in UKP3 UNITS
2501629,UKP311E3,FYH UKP311E3 HD TB PB (ADA 1(7/815/16)2 50MM) *COVER*
2501628,UKP311E1E1,FYH UKP311E1E1 HD TB PB (ADA 1 7/8 1 15/16)2in 50MM
2501627,UKP31135E,FYH UKP31135E 2-3/16 PB *UK213 + P311E + H313A*
