id,catalog_number,description
2497603,UCFBU20516G5,FYH UCFBU20516G5 1in ND SS 3 BOLT inSEAL MASTER DIMENTIONin
2497602,UCFBU20514G5,FYH UCFBU20514G5 7/8in ND SS 3 BOLT inDOMESTIC DIMENSIONin
2497601,UCFBU205,FYH UCFBU205 25MM 3B FL *DOMESTIC STYLE*
2497600,UCFBU20412G5,FYH UCFBU20412G5 3/4 ND SS 3B FLANGE BRACKET UNIT
2497599,UCFBT20620S6H1,FYH UCFBT20620S6H1 1 1/4s 3 BOLT STAINLESS UNIT
2497598,UCFBT20619S6H1,FYH UCFBT20619S6H1 1 3/16in 3 BOLT STAINLESS UNIT
2497597,UCFBT20619G5H1,FYH UCFBT20619G5H1 1 3/16in 3 BOLT STAINLESS HOUSING
2497596,UCFBT205S6H1,FYH UCFBT205S6H1 25MM STAINLESS 3 BOLT UNIT
2497595,UCFBT20516S6H1,FYH UCFBT20516S6H1 1in 3 BOLT STAINLESS UNIT
2497594,UCFBT20516G5XH1,FYH UCFBT20516G5XH1 1in ND SS 3 BOLT W/ BL. OXIDE INSERT
2497593,UCFBT20514G5H1,FYH UCFBT20514G5H1 7/8in 3 BOLT STAINLESS HOUSING
2497460,UCFB203S7NP,FYH UCFB203S7NP 17MM 3B FL CHROME INSERT & NP HSG
2497459,UCFB203PL,FYH UCFB203PL 15MM SS ND 3B PLASTIC UNIT
2497458,UCFB20311G5NP,FYH UCFB20311G5NP 9/16 ND SS 3-BOLT BRACKET UNIT
2497457,UCFB20311G5,FYH UCFB20311G5
2497456,UCFB203,FYH UCFB203 17MM ND SS 3B FLANGE BRACKET UNIT
2497394,UCFA20311G5,FYH UCFA20311G5
2497393,UCFA203,FYH UCFA203 17MM ND SS 2 BOLT ADJ.FLANGE UNIT
2497335,UCF310E3E3,FYH UCF310E3E3 50MM 4 B FL GROOVED AND TAPPED FOR COVER
2497334,UCF310E3,FYH UCF310E3 50MM 4 B FL GROOVED AND TAPPED FOR COVER
2497333,UCF31031G5,FYH UCF31031G5 1 15/16 HD SS 4-BOLT FLANGGE UNIT
2497332,UCF310,FYH UCF310 50MM HD SS 4 BOLT FLANGE BLOCK UNIT
2497327,UCF30722G5,FYH UCF30722G5 1 3/8 HD SS 4-BOLT FLANGE UNIT
2497326,UCF30720G5,FYH UCF30720G5 1 1/4 HD SS 4-BOLT FLANGE UNIT]
2497325,UCF307,FYH UCF307 35MM HD SS 4 BOLT FLANGE BLOCK UNIT
2497324,UCF306E3,FYH UCF306E3 30MM HD SS 4 BOLT FLANGE BLOCK MACHINED FOR COVER
2497323,UCF30618G5,FYH UCF30618G5 1 1/8 HD SS 4-BOLT FLANGE UNIT
2497322,UCF306,FYH UCF306 30MM HD SS 4 BOLT FLANGE BLOCK UNIT
2496787,UCF203S6,FYH UCF203S6 17MM ND SS 4B W/ STAINLESS STEAL INS
2496785,UCF203ES6NP,FYH UCF203ES6NP 17MM STN INSERT + NP HPUSING
2496784,UCF203EPL,FYH UCF203EPL PLASTIC UNIT inUC INSERTin
2496783,UCF203ENP,FYH UCF203ENP 17MM ND SS 4 BOLT FLANGE UNIT - NICKEL P
2496782,UCF203E,FYH UCF203E 17MM ND SS 4 BOLT FLANGE UNIT
2496781,UCF20311EG5,FYH UCF20311EG5 11/16 ND SS 4 BOLT FLANGE UNIT *POR*
2496721,UCCFS318D1K3,FYH UCCFS318D1K3 80MM HD UNIT HIGH TEMP NON-CONTACT SEAL`
2496720,UCCFS318,FYH UCCFS318 80MM HD UNIT HIGH TEMP FREE SPIN
2496687,UCC31031G5,FYH UCC31031G5 1 15/16 HD SS CARTRIDGE UNIT
2496686,UCC310,FYH UCC310 50MM HD CARTRIDGE UNIT
2496681,UCC30723G5,FYH UCC30723G5 1-7/16 HD SS CARTRIDGE UNIT
2496680,UCC30722G5,FYH UCC30722G5 1 3/8 HD SS CARTRIDGE UNIT
2496679,UCC30720G5,FYH UCC30720G5 1 1/4 HD SS CARTRIDGE UNIT
2496678,UCC307,FYH UCC307 35MM HD CARTRIDGE UNIT
2496677,UCC30618G5,FYH UCC30618G5 1 1/8 HD SS CARTRIDGE UNIT
2496676,UCC306,FYH UCC306 30MM HD CARTRIDGE UNIT
2496603,UCC20311G5,FYH UCC20311G5
2496602,UCC203,FYH UCC203 17MM ND SS CARTRIDGE UNIT
2496110,SN203S6,FYH SN203S6 17 MM ND SS STAINLESS inNARROW WIDTHin
2496109,SN203,FYH SN203 17MM ND SS INSERT **SL UNIT ONLY/POR**
2496108,SN202S6,FYH SN202S6 15MM ND SS STAINLESS inNARROW WIDTHin
2496107,SN20210S6,FYH SN20210S6 5/8 NDSS STAINLESS INSERT FOR SL UNITS
2496106,SN20210G5,FYH SN20210G5 5/8 ND SS INSERT FOR SL UNITS
2496105,SN202,FYH SN202 15MM ND SS INSERT **SL UNIT ONLY/POR**
2496104,SN201S6,FYH SN201S6 12MM ND SS inNARROW WIDTHin
2496103,SN2018G5,FYH SN2018G5 1/2 ND SS INSERT FOR SL UNITS
2496102,SN201,FYH SN201 12MM ND SS INSERT **SL UNIT ONLY/POR**
2496101,SM512M,FYH SM512M SPECIAL
2496100,SM309NP,FYH SM309NP NP T-UP F. *SIDE-MNT* 1 1/2- 1 15/16
2496099,SM218NP,FYH SM218NP T-UP FRAME NP *SIDE-MNT* 1 1/16- 1 7/16
2496098,SM209NP,FYH SM209NP TAKE-UP FRAME NP SIDE-MNT 1 1/16- 1 7/16
2496097,SM206NP,FYH SM206NP NICKEL PLATED TAKE UP FRAME
2496096,SM203NP,FYH SM203NP SM203 NICKEL-PLATED TAKE-UP FRAME
2496095,SM109NP,FYH SM109NP NICKEL PLATED TAKE UP FRAME
2496094,SM106NP,FYH SM106NP NICKEL PLATED TAKE UP FRAME
2496093,SLF21547G5,FYH SLF21547G5 4B FB HOUSING (FOR SA OR SB INSERT)
2496092,SLF215,FYH SLF215
2496091,SLF203KG5,FYH SLF203KG5 17MM ND 4B FL *2-1/8 BOLT CENTERS*
2496090,SLF202KG5,FYH SLF202KG5 15mm ND SS 4B FB in2 1/8in BOLT CENTERS
2496089,SLF20210S6NP,FYH SLF20210S6NP 5/8 ND SS 4B FB NPin2 1/8in BOLT CENTERS
2496088,SLF20210KP8G5NP,FYH SLF20210KP8G5NP 5/8 ND SS 4B FB NPin2 1/8in BOLT CENTERS
2496087,SLF20210KP8G5,FYH SLF20210KP8G5 5/8 ND SS 4B FB in2 1/8in BOLT CENTERS
2496086,SLF20210FP9,FYH SLF20210FP9 5/8 ND LC 4B FB in2 1/8in BOLT CENTERS
2496085,SLF2018KP8M,FYH SLF2018KP8M 1/2 ND SS 4B FB **MACHINED**
2496084,SLF2018KP8G5,FYH SLF2018KP8G5 1/2 ND SS 4B FB in2 1/8in BOLT CENTERS
2496083,SLF15,FYH SLF15 4B FLANGE BLOCK HSG. *6inB-HOLE CENTERS*
2496082,SLF03NP,FYH SLF03NP SLF03 NICKEL-PLATED
2496081,SLF03M,FYH SLF03M SLF03 MACHINED
2496080,SLF03,FYH SLF03 4B FL HOUSING (FOR SA OR SB INSERT)
2496079,SL215NP,FYH SL215NP 75MM LOW-BASE PB W/ NP HSG
2496078,SL21548G5NP,FYH SL21548G5NP
2496077,SL21548G5L3,FYH SL21548G5L3
2496076,SL21548G5,FYH SL21548G5 3in ND SS (LOW CENTER) PILLOW BLOCK
2496075,SL21547G5NP,FYH SL21547G5NP
2496074,SL21547G5L3,FYH SL21547G5L3
2496073,SL21547G5,FYH SL21547G5 2 15/16 ND SS (LOW CENTER) PILLOW BLOCK
2496072,SL215,FYH SL215 75MM ND SS (LOW CENTER) PILLOW BLOCK
2496071,SL214NP,FYH SL214NP 70MM LOW-BASE PB W/ NP HSG
2496070,SL21444G5NP,FYH SL21444G5NP
2496069,SL21444G5,FYH SL21444G5 2 3/4 ND SS (LOW CENTER) PILLOW BLOCK
2496068,SL214,FYH SL214 70MM ND SS (LOW CENTER) PILLOW BLOCK
2496067,SL213NP,FYH SL213NP 65MM LOW-BASE PB W/ NP HSG
2496066,SL21341G5,FYH SL21341G5 2 9/16 ND SS LOW BASE PILLOW BLOCK
2496065,SL21340G5NP,FYH SL21340G5NP
2496064,SL21340G5,FYH SL21340G5 2 1/2 ND SS (LOW CENTER) PILLOW BLOCK
2496063,SL213,FYH SL213 65MM ND SS (LOW CENTER) PILLOW BLOCK
2496062,SL212NP,FYH SL212NP 60MM LOW-BASE PB W/ NP HSG
2496061,SL2129G5NP,FYH SL2129G5NP
2496060,SL21239G5NP,FYH SL21239G5NP 2 7/16 NDSS LOW CENTER PILLOW NICKEL PLA
2496059,SL21239G5L3,FYH SL21239G5L3
2496058,SL21239G5,FYH SL21239G5 2 7/16 ND SS (LOW CENTER) PILLOW BLOCK
2496057,SL21238G5NP,FYH SL21238G5NP
2496056,SL21238G5,FYH SL21238G5 2 3/8 ND SS (LOW CENTER) PILLOW BLOCK
2496055,SL21236G5NP,FYH SL21236G5NP
2496054,SL21236G5,FYH SL21236G5 2 1/4 ND SS (LOW CENTER) PILLOW BLOCK
2496053,SL212,FYH SL212 60MM ND SS (LOW CENTER) PILLOW BLOCK
2496052,SL211NP,FYH SL211NP 55MM LOW-BASE PB W/ NP HSG
2496051,SL21135G5NP,FYH SL21135G5NP
2496050,SL21135G5L3,FYH SL21135G5L3
2496049,SL21135G5,FYH SL21135G5 2 3/16 ND SS (LOW CENTER) PILLOW BLOCK
2496048,SL21134G5NP,FYH SL21134G5NP
2496047,SL21134G5,FYH SL21134G5 2 1/8 ND SS (LOW CENTER) PILLOW BLOCK
2496046,SL21132G5NP,FYH SL21132G5NP
2496045,SL21132G5L3,FYH SL21132G5L3
2496044,SL21132G5,FYH SL21132G5 2in ND SS (LOW CENTER) PILLOW BLOCK
2496043,SL211,FYH SL211 55MM ND SS (LOW CENTER) PILLOW BLOCK
2496042,SL210S6NP,FYH SL210S6NP 50MM STN INSERT + NP HOUSING
2496041,SL210NP,FYH SL210NP 50MM LOW-BASE PB W/ NP HSG
2496040,SL21032G5NP,FYH SL21032G5NP
2496039,SL21032G5,FYH SL21032G5 2in ND SS (LOW BASE) PB
2496038,SL21031G5NP,FYH SL21031G5NP
2496037,SL21031G5L3,FYH SL21031G5L3
2496036,SL21031G5,FYH SL21031G5 1 15/16 ND SS (LOW CENTER) PILLOW BLOCK
2496035,SL21031D1K3,FYH SL21031D1K3 1 15/16 ND SS (LOW CENTER) PB HIGH TEMP NON CONTACT
2496034,SL21030G5NP,FYH SL21030G5NP
2496033,SL21030G5,FYH SL21030G5 1 7/8 ND SS (LOW CENTER) PILLOW BLOCK
2496032,SL210,FYH SL210 50MM ND SS (LOW CENTER) PILLOW BLOCK
2496031,SL209S6NP,FYH SL209S6NP 45MM STN INSERT + NP HOUSING
2496030,SL209NP,FYH SL209NP 45MM LOW-BASE PB W/ NP HSG
2496029,SL20928G5NP,FYH SL20928G5NP
2496028,SL20928G5L3,FYH SL20928G5L3
2496027,SL20928G5,FYH SL20928G5 1 3/4 ND SS (LOW CENTER) PILLOW BLOCK
2496026,SL20927G5NP,FYH SL20927G5NP
2496025,SL20927G5L3,FYH SL20927G5L3
2496024,SL20927G5,FYH SL20927G5 1 11/16 ND SS (LOW CENTER) PILLOW BLOCK
2496023,SL20926G5NP,FYH SL20926G5NP
2496022,SL20926G5L3,FYH SL20926G5L3
2496021,SL20926G5,FYH SL20926G5 1 5/8 ND SS (LOW CENTER) PILLOW BLOCK
2496020,SL209,FYH SL209 45MM ND SS (LOW CENTER) PILLOW BLOCK
2496019,SL208S6NP,FYH SL208S6NP 40MM STN INSERT + NP HOUSING
2496018,SL208NP,FYH SL208NP 40MM LOW-BASE PB W/ NP HSG
2496017,SL20825G5NP,FYH SL20825G5NP
2496016,SL20825G5,FYH SL20825G5 1 9/16 ND SS (LOW CENTER) PILLOW BLOCK
2496015,SL20824G5NP,FYH SL20824G5NP
2496014,SL20824G5L3,FYH SL20824G5L3
2496013,SL20824G5,FYH SL20824G5 1 1/2 ND SS (LOW CENTER) PILLOW BLOCK
2496012,SL20824D7K3,FYH SL20824D7K3 1 1/2 ND SS LOW CENTER PB FREE SPIN
2496011,SL20824D1K3,FYH SL20824D1K3 1 1/2 ND SS LOW C. PB NON CONTACT SEAL
2496010,SL208,FYH SL208 40MM ND SS (LOW CENTER) PILLOW BLOCK
2496009,SL207S6NP,FYH SL207S6NP 35MM STN INSERT + NP HOUSING
2496008,SL207NP,FYH SL207NP 35MM LOW BASE PB NP
2496007,SL20723G5NP,FYH SL20723G5NP
2496006,SL20723G5L3,FYH SL20723G5L3
2496005,SL20723G5E1,FYH SL20723G5E1 1 7/16 ND SS LC PB GROOVE FOR COVER
2496004,SL20723G5,FYH SL20723G5 1 7/16 ND SS (LOW CENTER) PILLOW BLOCK
2496003,SL20722G5NP,FYH SL20722G5NP
2496002,SL20722G5L3,FYH SL20722G5L3
2496001,SL20722G5,FYH SL20722G5 1 3/8 ND SS (LOW CENTER) PILLOW BLOCK
2496000,SL20721G5NP,FYH SL20721G5NP
2495999,SL20721G5,FYH SL20721G5 1 5/16 ND SS (LOW CENTER) PILLOW BLOCK
2495998,SL20720G5NP,FYH SL20720G5NP
2495997,SL20720G5L3,FYH SL20720G5L3
2495996,SL20720G5,FYH SL20720G5 1 1/4 ND SS (LOW CENTER) PILLOW BLOCK
2495995,SL20720D1K3,FYH SL20720D1K3 1 1/4 ND SS LOW CENTER FREE SPIN
2495994,SL207,FYH SL207 35MM ND SS (LOW CENTER) PILLOW BLOCK
2495993,SL206S6NP,FYH SL206S6NP 30MM STN INSERT + NP HOUSING
2495992,SL206NP,FYH SL206NP 30MM LOW-BASE PB W/ NP HSG
2495991,SL206L3,FYH SL206L3 30MM ND SS (LOW CENTER) PB TRIPLE SEAL
2495990,SL206D1K2,FYH SL206D1K2 30MM LOW PB W/ HIGH-TEMP BRG
2495989,SL20620G5NP,FYH SL20620G5NP
2495988,SL20620G5L3,FYH SL20620G5L3
2495987,SL20620G5,FYH SL20620G5 1 1/4in ND SS PB LOW CENTER HEIGHT
2495986,SL20619G5NP,FYH SL20619G5NP
2495985,SL20619G5L3,FYH SL20619G5L3
2495984,SL20619G5,FYH SL20619G5 1 3/16 ND SS (LOW CENTER) PILLOW BLOCK
2495983,SL20619D1K3NP,FYH SL20619D1K3NP 1-1/8 PB HIGH-TEMP/NON-CONTACT *NICKEL-PLATED*
2495982,SL20618G5NP,FYH SL20618G5NP 1-1/8 PB NICKEL-PLATED
2495981,SL20618G5L3,FYH SL20618G5L3
2495980,SL20618G5,FYH SL20618G5 1 1/8 ND SS (LOW CENTER) PILLOW BLOCK
2495979,SL20617G5NP,FYH SL20617G5NP
2495978,SL20617G5,FYH SL20617G5 1 1/16 ND SS LOW BASE PILLOW BLOCK
2495977,SL206,FYH SL206 30MM ND SS (LOW CENTER) PILLOW BLOCK
2495976,SL205S6NP,FYH SL205S6NP 25MM STN INSERT + NP HOUSING
2495975,SL205NP,FYH SL205NP 25MM ND SS + NP HOUSING
2495974,SL205L2,FYH SL205L2 25MM LOW-BASE PB W/ L2 SEALS
2495973,SL20516G5XNP,FYH SL20516G5XNP 1in ND PB SS NP (LOW CENTER)
2495972,SL20516G5NP,FYH SL20516G5NP 1in ND SS PB LOW BASE N-PLATED
2495971,SL20516G5L2,FYH SL20516G5L2
2495970,SL20516G5B13,FYH SL20516G5B13 1in NDSS LOW CENTER PILLOW ZERK AT 45 DEG
2495969,SL20516G5,FYH SL20516G5 1in ND SS (LOW CENTER) PILLOW BLOCK
2495968,SL20516D1K3,FYH SL20516D1K3 1in ND SS LOW CENTER FREE SPIN UNIT
2495967,SL20516D1K2,FYH SL20516D1K2 1inNDSS LOW CENTER HIGH TEMPERATURE
2495966,SL20515G5NP,FYH SL20515G5NP
2495965,SL20515G5B13,FYH SL20515G5B13 15/16 NDSS LOW CENTER P. BLOCK ZERK 45
2495964,SL20515G5,FYH SL20515G5 15/16 ND SS (LOW CENTER) PILLOW BLOCK
2495963,SL20514G5NP,FYH SL20514G5NP
2495962,SL20514G5L2,FYH SL20514G5L2
2495961,SL20514G5,FYH SL20514G5 7/8 ND SS (LOW CENTER) PILLOW BLOCK
2495960,SL205,FYH SL205 25MM ND SS (LOW CENTER) PILLOW BLOCK
2495959,SL204S6NP,FYH SL204S6NP 20MM STN INSERT + NP HOUSING
2495958,SL204NP,FYH SL204NP 20MM LOW-BASE PB W/ NP HSG
2495957,SL20412S6Y3,FYH SL20412S6Y3 3/4 PB CERAMIC BALL UNIT
2495956,SL20412G5NP,FYH SL20412G5NP
2495955,SL20412G5L2,FYH SL20412G5L2
2495954,SL20412G5,FYH SL20412G5 3/4 ND SS (LOW CENTER) PILLOW BLOCK
2495953,SL20412D1K3,FYH SL20412D1K3
2495952,SL204,FYH SL204 20MM ND SS (LOW CENTER) PILLOW BLOCK
2495951,SL203S6NP,FYH SL203S6NP 17MM STN INSERT + NP HPUSING
2495950,SL203S6,FYH SL203S6 17mm LOW BASE PB STAINLESS INSERT
2495949,SL203NP,FYH SL203NP 17MM LOW-BASE PB W/ NP HSG *SB*
2495948,SL203,FYH SL203 17MM ND SS L-CENTR *NEED SB* FOR B-CENTR
2495947,SL202S6NP,FYH SL202S6NP 15MM STN INSERT + NP HOUSING
2495946,SL202S6,FYH SL202S6 15 MM LOW BASE PB STAINLESS INSERT
2495945,SL202NP,FYH SL202NP 15MM LOW-BASE PB W/ NP HSG *SB*
2495944,SL20210S6,FYH SL20210S6 5/8in LOW BASE PB STAINLESS INSERT
2495943,SL20210G5NP,FYH SL20210G5NP SL20210G5 NICKEL PLATE
2495942,SL20210G5,FYH SL20210G5 5/8 ND SS L-CENTR *NEED SB* B-CENTER
2495941,SL202,FYH SL202 15MM LOW-BASE PB *SB*
2495940,SL201S6NP,FYH SL201S6NP 12MM STN INSERT + NP HOUSING
2495939,SL201NP,FYH SL201NP 12MM LOW-BASE PB *NICKEL-PLATED*
2495938,SL2018G5NP,FYH SL2018G5NP SL2018G5 NICKEL PLATE
2495937,SL2018G5,FYH SL2018G5 1/2 LD SS L-CENTR *NEED SB* FOR B-CENTER
2495936,SFL211H1,FYH SFL211H1 FL211 STAINLESS HOUSING
2495935,SFL210H1E1,FYH SFL210H1E1 FL210 STAINLESS HOUSING MACHINED FOR COVER
2495934,SFL210H1,FYH SFL210H1 FL 210 STAINLESS HOUSING
2495933,SFL209H1M,FYH SFL209H1M FL 209 STAINLESS
2495932,SFL209H1E1,FYH SFL209H1E1 FL209 STAINLESS MACHINED FOR COVER
2495931,SFL209H1,FYH SFL209H1 FL 209 STAINLESS
2495930,SFL208H1,FYH SFL208H1 STAINLESS HOUSING
2495929,SFL207H1,FYH SFL207H1 FL207E STAINLESS HOUSING
2495928,SFL206H1,FYH SFL206H1 FL206E STAINLESS HOUSING
2495927,SFL205JH1,FYH SFL205JH1 FL205J STAINLESS HOUSING
2495926,SFL205H1,FYH SFL205H1 FL205E STAINLESS HOUSING
2495925,SFL204H1P9,FYH SFL204H1P9 STAINLESS 2 BLT FLANGE *BACKSIDE RELUBE*
2495924,SFL204H1,FYH SFL204H1 FL204E STAINLESS HOUSING
2495923,SFL203JH1,FYH SFL203JH1 FL203JS STAINLESS HOUSING
2495922,SFL203H1,FYH SFL203H1 FL203S STAINLESS HOUSING
2495921,SFL006H1,FYH SFL006H1 SFL006 STAINLESS HOUSING
2495920,SFL005H1,FYH SFL005H1 SFL005 STAINLESS HOUSING
2495919,SFL004H1,FYH SFL004H1 SFL004 STAINLESS HOUSING
2495918,SFL003H1,FYH SFL003H1 SFL003 STAINLESS HOUSING
2495917,SFL002H1,FYH SFL002H1 SFL002 STAINLESS HOUSING
2495916,SFL001H1,FYH SFL001H1 SFL001 STAINLESS HOUSING
2495915,SFL000H1,FYH SFL000H1 SFL000 STAINLESS HOUSING
2495914,SFB206H1,FYH SFB206H1 3-BOLT STAINLESS HSG DOMESTIC STYLE
2495913,SFB205H1B290,FYH SFB205H1B290 3-BOLT STAINLESS HSG 90 DEG LEFT SIDE GREASE FITTING
2495912,SFB205H1B190,FYH SFB205H1B190 3-BOLT STAINLESS HSG 90 DEG RIGHT SIDE GREASE FITTING
2495911,SFB205H1,FYH SFB205H1 3-BOLT STAINLESS SOLID BASE DOMESTIC HSG *316 STN*
2495910,SF211H1,FYH SF211H1 4 BOLT SOLID BACK *316*STAINLESS HOUSING
2495909,SF210H1,FYH SF210H1 F210E STAINLESS HOUSING
2495908,SF209H1E1,FYH SF209H1E1 F209 STAINLESS HSG MACHINED FOR COVER
2495907,SF209H1,FYH SF209H1 4 BLT SOLID BACK *316*STAINLESS HOUSING
2495906,SF208H1,FYH SF208H1 4 BLT SOLID BACK *316*STAINLESS HOUSING
2495905,SF207H1,FYH SF207H1 F207E STAINLESS HOUSING
2495904,SF206H1,FYH SF206H1 4 BLT SOLID BACK *316* STAINLESS HOUSING
2495903,SF205H1E1,FYH SF205H1E1 STAINLESS HOUSING MACHINED FOR COVER
2495902,SF205H1,FYH SF205H1 F205E STAINLESS HOUSING
2495901,SF204H1,FYH SF204H1 F204E STAINLESS HOUSING
2495900,SCRPP205,FYH SCRPP205 25MM RUBBER MOUNTED/PRESSED STEEL PB *NON-EXTENDING IR*
2495899,SCPFL203,FYH SCPFL203 17MM 2-BOLT PRESSED STEEEL UNIT
2495898,SCPF204,FYH SCPF204 20MM LD SS STAMP UNIT *P-LUBE 3 BOLT
2495897,SCPF203,FYH SCPF203 17MM LD SS * PRESSED STEEL UNIT 3 BOLT
2495896,SCP205,FYH SCP205 25MM ND SS PB *FLUSH INNER RING INSERT*
2495895,SCP204,FYH SCP204 20MM PB UNIT
2495894,SCLP204,FYH SCLP204 20MM PB UNIT
2495893,SC208,FYH SC208 40MM LD NON-EXTENDING INNER RING *FLUSH*
2495892,SC207,FYH SC207 35MM LD NON-EXTENDING INNER RING *FLUSH*
2495891,SC206,FYH SC206 30MM LD NON-EXTENDING INNER RING *FLUSH*
2495890,SC205D12,FYH SC205D12 25MM INSERT W/ FOOD GRADE POLYMER-FILL
2495889,SC20516,FYH SC20516 1in LD NON-EXTENDING INNER RING INSERT
2495888,SC205,FYH SC205 25MM LD NON-EXTENDING INNER RING *FLUSH*
2495887,SC204,FYH SC204 20MM LD NON-EXTENDING INNER RING *FLUSH*
2495886,SC203OMRI7,FYH SC203OMRI7 SPECIAL FOR PROPRIETARY CUSTOMER
2495885,SC203,FYH SC203 17MM LD NON-EXTENDING INNER RING *FLUSH*
2495884,SC202,FYH SC202 15MM LD NON-EXTENDING INNER RING *FLUSH*
2495883,SC201,FYH SC201 12MM LD NON-EXTENDING INNER RING *FLUSH*
2495882,SC200,FYH SC200 10MM LD NON-EXTENDED *FLUSH*
2495881,SBTRS207EKG5,FYH SBTRS207EKG5 35MM ND SS *NARROW-SLOT* TAKE-UP
2495880,SBTRS20723EKP8,FYH SBTRS20723EKP8 1-7/16 ND N-SLOT TU UNIT
2495879,SBTRS20722EKP8,FYH SBTRS20722EKP8 1-3/8 ND N-SLOT TU UNIT
2495878,SBTRS20721EKP8,FYH SBTRS20721EKP8 1-5/16 ND SS N-SLOT TU UNIT
2495877,SBTRS20720EKP8,FYH SBTRS20720EKP8 1-1/4 ND N-SLOT TU UNIT
2495876,SBTRS206EKG5,FYH SBTRS206EKG5 30MM ND SS *NARROW-SLOT* TAKE-UP
2495875,SBTRS20620EKP8,FYH SBTRS20620EKP8 1-1/4s ND N-SLOT TU UNIT
2495874,SBTRS20619EKP8,FYH SBTRS20619EKP8 1-3/16 ND N-SLOT TU UNIT
2495873,SBTRS20618EKP8,FYH SBTRS20618EKP8 1 1/8 ND SS N-SLOT TU UNIT
2495872,SBTRS20617EKP8,FYH SBTRS20617EKP8 1-1/16 ND N-SLOT TU UNIT
2495871,SBTRS205EKG5,FYH SBTRS205EKG5 25MM ND SS *NARROW-SLOT* TAKE-UP
2495870,SBTRS20516EKP8NP,FYH SBTRS20516EKP8NP 1in ND SS N-SLOT TU UNIT
2495869,SBTRS20516EKP8,FYH SBTRS20516EKP8 1in ND SS N-SLOT TU UNIT
2495868,SBTRS20515EKP8,FYH SBTRS20515EKP8 15/16 ND N-SLOT T-UP UNIT
2495867,SBTRS20514EKP8,FYH SBTRS20514EKP8 7/8 ND N-SLOT TAKE-UP
2495866,SBTFD20723KP8H4,FYH SBTFD20723KP8H4 1-7/16 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495865,SBTFD20722KP8H4,FYH SBTFD20722KP8H4 1-3/8 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495864,SBTFD20720KP8H4,FYH SBTFD20720KP8H4 1-1/4 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495863,SBTFD206H4,FYH SBTFD206H4 30MM 3B FL PRE-LUBE BOLT HOLES *RE-LUBE*
2495862,SBTFD20620KP8H4,FYH SBTFD20620KP8H4 1-1/4s 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495861,SBTFD20620KG5,FYH SBTFD20620KG5 1-1/4s 3B FL PRE-LUBE BOLT HOLES *RE-LUBE*
2495860,SBTFD20619KP8H4,FYH SBTFD20619KP8H4 1 3/16 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495859,SBTFD20618KP8H4,FYH SBTFD20618KP8H4 1 3/16 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495858,SBTFD20516KP8H4,FYH SBTFD20516KP8H4 1in 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495857,SBTFD20514KP8H4,FYH SBTFD20514KP8H4 7/8 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495856,SBTFD20412KP8H4,FYH SBTFD20412KP8H4 3/4 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495855,SBTFD20210KP8H4,FYH SBTFD20210KP8H4 5/8 3B FL DUCTILE W/ SQUARE BOLT HOLES *RE-LUBE*
2495854,SBT208EKG5,FYH SBT208EKG5 40MM ND SS TAKE-UP UNIT
2495853,SBT207EKG5,FYH SBT207EKG5 35MM ND SS TAKE-UP UNIT
2495852,SBT20723EKP8G5,FYH SBT20723EKP8G5 1-7/16 ND TAKE-UP (NARROW-WIDTH) RE-LUBE
2495851,SBT206EKG5,FYH SBT206EKG5 30MM ND SS TAKE UPS UNIT
2495850,SBT205EKG5,FYH SBT205EKG5 25MM ND SS TAKE-UP UNIT
2495849,SBT20516EKP8G5,FYH SBT20516EKP8G5 1in ND SS T-UP (NARROW-WITH) RE-LUBE
2495848,SBT204EKG5,FYH SBT204EKG5 20MM ND SS TAKE UP UNIT
2495847,SBSL208KG5,FYH SBSL208KG5 40MM ND SS LOW-PB(NARROW WITH) *PRELUBE*
2495846,SBSL207KG5,FYH SBSL207KG5 35MM ND SS LOW-PB(NARROW WITH) *PRELUBE*
2495845,SBSL206KG5,FYH SBSL206KG5 30MM ND SS LOW-PB(NARROW WITH) *PRELUBE*
2495844,SBSL205KG5,FYH SBSL205KG5 25MM ND SS LOW-PB(NARROW WITH) *PRELUBE*
2495843,SBSL204M,FYH SBSL204M 20MM NS SS LOW-PB *1-1/8 BASE TO CTR)*
2495842,SBSL204KG5,FYH SBSL204KG5 20MM ND SS LOW-PB(NARROW WITH) *PRELUBE*
2495841,SBSL203KG5,FYH SBSL203KG5 17MM ND SS LOW-PB(NARROW-WITH) *PRELUBE*
2495840,SBSL201KG5,FYH SBSL201KG5 12MM LOW PB W/ NARROW-WIDTH SEALED BRG
2495839,SBRPP206KG5,FYH SBRPP206KG5 30MM SS PB RUBBER BOOT PRESSED STEEE
